ticker,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
AIIOW,-0.137261,-0.145879,0.631788,0.692241,-0.364396,-0.523224,-0.021328,0.697571,-0.709867,0.288598,-1.206840,0.589714,0.795193,-0.190548,-0.044345,0.593230,-0.144472,0.136528,0.737997,0.183289,-0.335552,0.375860,0.185742,0.702302,-0.047527,-0.216789,1.276878,0.590109,0.327724,-0.286440,-0.903692,-0.728493
AIIO,-0.225683,-0.199104,0.617606,0.700885,-0.362666,-0.479367,-0.053141,0.715809,-0.689794,0.370848,-1.159826,0.604149,0.819633,-0.320852,0.014581,0.592638,-0.162095,0.148041,0.751410,0.190279,-0.349623,0.352243,0.128013,0.639490,-0.062337,-0.202058,1.287713,0.574352,0.330810,-0.266039,-0.897727,-0.760119
AII,-0.172943,-0.298190,0.554584,0.765354,-0.387546,-0.402592,0.042487,0.689672,-0.746747,0.276837,-1.241289,0.526192,0.689328,-0.232254,0.121549,0.568638,-0.003894,0.236625,0.719762,0.132312,-0.309730,0.361408,0.242995,0.689980,0.097335,-0.229664,1.252332,0.427929,0.341996,-0.300352,-0.855685,-0.847413
AIMD,-0.177436,-0.254479,0.587969,0.738816,-0.372831,-0.429333,0.022929,0.679228,-0.735641,0.314860,-1.235171,0.555358,0.724588,-0.248052,0.094165,0.589958,-0.062167,0.201822,0.714629,0.148769,-0.330600,0.359998,0.213177,0.669647,0.043893,-0.231441,1.263416,0.490294,0.341410,-0.289144,-0.867512,-0.834163
AIM,-0.191769,-0.256595,0.591549,0.741249,-0.360114,-0.429151,0.010597,0.689276,-0.731239,0.329137,-1.228368,0.560464,0.733154,-0.256652,0.095650,0.581790,-0.084834,0.185849,0.723866,0.157855,-0.330721,0.366855,0.202189,0.666716,0.032085,-0.241403,1.268488,0.498622,0.342764,-0.292889,-0.866315,-0.840238
AIOT,-0.143466,-0.300649,0.566931,0.749820,-0.371124,-0.406967,0.057097,0.679245,-0.777329,0.258892,-1.260166,0.540675,0.658501,-0.218589,0.128738,0.559810,0.026507,0.225509,0.695337,0.130313,-0.283446,0.357463,0.266336,0.690450,0.125942,-0.263072,1.216022,0.407187,0.367446,-0.315301,-0.833164,-0.867497
AIO,-0.171515,-0.324071,0.538118,0.772211,-0.387305,-0.389187,0.047123,0.698428,-0.753119,0.261239,-1.243850,0.514803,0.663810,-0.232895,0.136716,0.556223,0.022795,0.246245,0.715161,0.124668,-0.296846,0.359082,0.253959,0.693050,0.131213,-0.238012,1.235501,0.400025,0.343858,-0.316960,-0.841819,-0.852622
AIP,-0.119604,-0.295723,0.586273,0.720359,-0.344353,-0.407489,0.061687,0.650448,-0.797067,0.274125,-1.292331,0.555191,0.632849,-0.219795,0.137703,0.580423,0.020991,0.211088,0.673259,0.120128,-0.279370,0.356531,0.270751,0.686857,0.128366,-0.289144,1.201375,0.419324,0.374957,-0.320763,-0.817271,-0.893610
AIRE,-0.170501,-0.259054,0.597391,0.727189,-0.348288,-0.429957,0.021184,0.679603,-0.742400,0.324450,-1.245193,0.564505,0.713749,-0.249185,0.099546,0.580120,-0.073189,0.164209,0.711851,0.155037,-0.318906,0.360080,0.206585,0.671188,0.045454,-0.259901,1.251274,0.497567,0.344879,-0.298022,-0.857178,-0.848236
AIRG,-0.172629,-0.262299,0.576945,0.748724,-0.388474,-0.425481,0.033407,0.684564,-0.737939,0.293477,-1.236533,0.545056,0.720885,-0.237301,0.097152,0.585597,-0.033533,0.228839,0.716322,0.138576,-0.323591,0.359842,0.226554,0.680531,0.059920,-0.216995,1.263242,0.460900,0.344190,-0.283449,-0.868607,-0.834058
AIRI,-0.198971,-0.279717,0.574908,0.739835,-0.364693,-0.408686,0.000923,0.684465,-0.723185,0.350769,-1.237097,0.538197,0.724238,-0.282278,0.110465,0.603965,-0.088596,0.219054,0.724566,0.132537,-0.343564,0.364867,0.191634,0.671528,0.038207,-0.227680,1.279317,0.493541,0.330588,-0.292841,-0.857849,-0.846735
AIRJ,-0.158852,-0.261453,0.583685,0.746024,-0.378834,-0.429437,0.044200,0.679339,-0.757548,0.274216,-1.241061,0.556476,0.704011,-0.223033,0.099660,0.571058,-0.014850,0.214939,0.706046,0.145658,-0.304795,0.360026,0.244896,0.680237,0.075934,-0.239145,1.244108,0.448610,0.357308,-0.289397,-0.858330,-0.845293
AIRO,-0.138531,-0.292058,0.570552,0.749283,-0.371054,-0.414791,0.063371,0.683105,-0.775274,0.247832,-1.257605,0.545241,0.661719,-0.205865,0.120790,0.548964,0.024220,0.207124,0.696236,0.141433,-0.278279,0.358082,0.268505,0.691813,0.121373,-0.268549,1.214193,0.411488,0.367076,-0.314007,-0.838915,-0.865984
AIRS,-0.133729,-0.245369,0.597113,0.733659,-0.367428,-0.441244,0.051004,0.666979,-0.774113,0.255057,-1.256656,0.566001,0.691253,-0.196783,0.087927,0.569712,-0.005269,0.199568,0.694420,0.147864,-0.292631,0.362405,0.260219,0.691587,0.082420,-0.256494,1.229882,0.450362,0.367770,-0.292550,-0.851598,-0.845533
AIRTP,-0.292472,-0.253736,0.532793,0.754203,-0.417820,-0.427445,-0.094688,0.773879,-0.608996,0.398364,-1.133425,0.506551,0.844251,-0.350433,0.016613,0.614529,-0.197902,0.261942,0.803900,0.150335,-0.418573,0.377544,0.101072,0.654842,-0.071698,-0.122440,1.352393,0.570453,0.282176,-0.276427,-0.919527,-0.723416
AIRT,-0.259458,-0.257954,0.542829,0.760565,-0.415629,-0.422620,-0.050512,0.746684,-0.635758,0.372668,-1.165523,0.510786,0.815406,-0.310273,0.047400,0.608935,-0.156121,0.254180,0.784053,0.146597,-0.399644,0.372922,0.132362,0.667286,-0.034944,-0.136780,1.338962,0.541164,0.287498,-0.272842,-0.911630,-0.751857
AIR,-0.141646,-0.323899,0.564166,0.738170,-0.349718,-0.386065,0.056107,0.665593,-0.784979,0.280818,-1.283595,0.534306,0.628337,-0.237240,0.154951,0.573734,0.021751,0.227206,0.686776,0.113758,-0.284263,0.359596,0.265060,0.686871,0.139092,-0.281332,1.210696,0.406192,0.362482,-0.328329,-0.814580,-0.896984
AISPW,-0.165357,-0.186764,0.628378,0.719532,-0.368485,-0.483776,0.001934,0.682465,-0.759959,0.282414,-1.208383,0.603309,0.762074,-0.224904,0.028074,0.580164,-0.078517,0.197415,0.707091,0.172862,-0.319201,0.371293,0.227737,0.662749,0.010048,-0.239772,1.250829,0.512338,0.373489,-0.273875,-0.866951,-0.802274
AISP,-0.139018,-0.278703,0.584380,0.739353,-0.369705,-0.422179,0.058119,0.674692,-0.779622,0.262730,-1.259454,0.559414,0.671010,-0.217359,0.116138,0.564865,0.013173,0.212605,0.689637,0.140080,-0.285361,0.358651,0.264291,0.682448,0.107472,-0.265345,1.218282,0.423470,0.373345,-0.305168,-0.838947,-0.868856
AIT,-0.134257,-0.339159,0.559095,0.735634,-0.345335,-0.380550,0.058584,0.669389,-0.792360,0.277302,-1.289196,0.527147,0.612449,-0.234097,0.162589,0.568381,0.033769,0.227870,0.681304,0.107771,-0.275552,0.356756,0.268645,0.693753,0.157963,-0.293239,1.197963,0.389958,0.367707,-0.340614,-0.803065,-0.903301
AIV,-0.162489,-0.330920,0.548105,0.754344,-0.363375,-0.381084,0.045447,0.683132,-0.761322,0.288925,-1.263985,0.516884,0.648030,-0.246333,0.153778,0.570330,0.007243,0.233976,0.705575,0.117253,-0.297565,0.359683,0.248184,0.689349,0.128402,-0.261555,1.230193,0.411402,0.346589,-0.326491,-0.825807,-0.880442
AIXC,-0.201072,-0.252187,0.597570,0.720770,-0.354331,-0.428285,-0.007227,0.679972,-0.710272,0.368771,-1.227860,0.566328,0.747303,-0.291614,0.089251,0.603684,-0.118902,0.173193,0.722578,0.154540,-0.347943,0.354744,0.166724,0.657348,0.005593,-0.228444,1.276252,0.534139,0.328997,-0.286222,-0.874970,-0.825207
AIXI,-0.146957,-0.253451,0.613085,0.714235,-0.323982,-0.429772,0.036406,0.653183,-0.778387,0.308507,-1.260081,0.584219,0.680784,-0.241890,0.116056,0.572911,-0.045543,0.143784,0.682351,0.150448,-0.293362,0.349349,0.231715,0.661128,0.070706,-0.295263,1.215316,0.485165,0.365526,-0.308155,-0.835410,-0.875257
AIZN,-0.173114,-0.322600,0.557348,0.747007,-0.359628,-0.381371,0.035533,0.676568,-0.754325,0.318031,-1.266263,0.518171,0.661419,-0.262165,0.154482,0.589225,-0.019578,0.233687,0.708472,0.114617,-0.312888,0.361329,0.232302,0.682118,0.105892,-0.254999,1.246245,0.433524,0.341841,-0.316262,-0.829291,-0.886219
AIZ,-0.149427,-0.339663,0.546504,0.753813,-0.360836,-0.379981,0.055100,0.681940,-0.777422,0.268120,-1.271437,0.519506,0.627476,-0.234055,0.157088,0.559477,0.033900,0.235131,0.696394,0.113469,-0.281130,0.358090,0.265129,0.694659,0.153374,-0.273828,1.210569,0.389689,0.357570,-0.334870,-0.816593,-0.884773
AI,-0.132479,-0.322722,0.565836,0.739758,-0.350559,-0.392267,0.063292,0.672548,-0.786612,0.268267,-1.283878,0.536221,0.626502,-0.222577,0.150963,0.561527,0.028898,0.212582,0.684832,0.120297,-0.275392,0.358171,0.270141,0.692694,0.144360,-0.289903,1.201847,0.400368,0.368062,-0.334037,-0.815980,-0.894498
AJG,-0.148289,-0.337835,0.551642,0.749078,-0.358348,-0.381309,0.055206,0.682029,-0.777795,0.277117,-1.275581,0.519693,0.630175,-0.235961,0.157580,0.563504,0.025118,0.230198,0.695425,0.113450,-0.282650,0.359017,0.261261,0.694935,0.147799,-0.278511,1.212492,0.394548,0.358634,-0.333970,-0.814410,-0.891901
AKAM,-0.137891,-0.329362,0.561900,0.737084,-0.348814,-0.384381,0.057023,0.665896,-0.787256,0.282824,-1.285186,0.530376,0.624389,-0.237432,0.159031,0.573590,0.024813,0.226574,0.685498,0.112296,-0.281828,0.357605,0.264609,0.691190,0.143804,-0.285111,1.208654,0.402101,0.364755,-0.332454,-0.810217,-0.900368
AKAN,-0.189344,-0.262541,0.615844,0.684695,-0.305004,-0.415776,-0.019507,0.654042,-0.732654,0.410249,-1.253941,0.579893,0.715670,-0.326599,0.115199,0.616987,-0.152157,0.124987,0.704916,0.144639,-0.340821,0.345530,0.150310,0.645653,0.006996,-0.279733,1.255630,0.564198,0.328072,-0.307998,-0.843481,-0.867647
AKA,-0.199088,-0.267656,0.579194,0.723738,-0.360493,-0.414759,-0.010942,0.680837,-0.702034,0.371995,-1.237410,0.533657,0.738870,-0.295023,0.095733,0.617929,-0.123969,0.201907,0.728935,0.135075,-0.360047,0.360312,0.168568,0.667201,0.011852,-0.220711,1.284326,0.532265,0.314114,-0.293695,-0.867058,-0.834629
AKBA,-0.112728,-0.315904,0.578858,0.719181,-0.334927,-0.395834,0.068835,0.651283,-0.805988,0.272139,-1.301417,0.547410,0.611557,-0.221705,0.153533,0.572133,0.035010,0.210568,0.667755,0.113120,-0.266859,0.354936,0.278168,0.691713,0.149242,-0.306758,1.185182,0.400374,0.381309,-0.336381,-0.800840,-0.910133
ALLO,-0.090845,-0.293065,0.603796,0.696928,-0.322503,-0.410079,0.078361,0.631342,-0.824145,0.271411,-1.315696,0.574333,0.604894,-0.215260,0.145301,0.581277,0.036592,0.194183,0.648294,0.115623,-0.259534,0.352136,0.287556,0.682433,0.141774,-0.322842,1.171236,0.410686,0.396681,-0.331536,-0.795378,-0.921241
ALLR,-0.140730,-0.271660,0.588388,0.727666,-0.358229,-0.418853,0.053236,0.659965,-0.768447,0.284522,-1.269488,0.553970,0.671848,-0.225412,0.118358,0.582850,-0.015284,0.198129,0.691102,0.137003,-0.302304,0.358777,0.248962,0.678537,0.089196,-0.262781,1.227728,0.455187,0.354261,-0.304246,-0.842202,-0.870189
ALLT,-0.136373,-0.306935,0.572664,0.734726,-0.351069,-0.398807,0.057376,0.662359,-0.783979,0.279367,-1.281826,0.542410,0.639985,-0.229688,0.142749,0.575001,0.013420,0.215282,0.686207,0.120877,-0.285432,0.358785,0.262958,0.688241,0.124626,-0.279786,1.214395,0.418449,0.363506,-0.321549,-0.822181,-0.890869
ALLY,-0.151440,-0.328203,0.549353,0.755691,-0.367550,-0.388418,0.054387,0.684518,-0.773618,0.261871,-1.265802,0.523715,0.639322,-0.228958,0.145476,0.558723,0.031104,0.235758,0.698653,0.118284,-0.284461,0.359018,0.264826,0.693874,0.144494,-0.265180,1.215053,0.395482,0.356806,-0.327578,-0.825233,-0.874168
ALMS,-0.134794,-0.264714,0.586518,0.736638,-0.371627,-0.430406,0.054830,0.666034,-0.774143,0.258630,-1.261379,0.560975,0.678570,-0.207285,0.101861,0.573864,0.010335,0.214424,0.690853,0.135507,-0.291795,0.358178,0.261846,0.687238,0.096624,-0.252541,1.224485,0.434360,0.367142,-0.298237,-0.850036,-0.850756
ALMU,-0.129053,-0.242283,0.600961,0.732915,-0.370725,-0.444924,0.058678,0.659806,-0.781164,0.248284,-1.257684,0.577888,0.687848,-0.199449,0.088610,0.571353,0.008838,0.205743,0.686564,0.147436,-0.288186,0.359155,0.269113,0.681139,0.086505,-0.255076,1.221224,0.445015,0.375186,-0.290984,-0.852041,-0.845718
ALM,-0.134968,-0.265726,0.583673,0.735006,-0.366273,-0.424362,0.054132,0.657606,-0.774100,0.257117,-1.266513,0.556247,0.671905,-0.205746,0.105693,0.578546,0.005568,0.212075,0.693441,0.134888,-0.294574,0.360070,0.263907,0.689607,0.097458,-0.252457,1.228510,0.441032,0.357426,-0.297858,-0.846221,-0.853204
ALNT,-0.146643,-0.298447,0.560466,0.751188,-0.374634,-0.404494,0.053475,0.676870,-0.771667,0.254118,-1.259009,0.536136,0.658911,-0.217607,0.125179,0.565561,0.025410,0.232224,0.699418,0.126298,-0.288875,0.358760,0.264657,0.691993,0.124457,-0.251941,1.223099,0.410165,0.356924,-0.311355,-0.837642,-0.858655
ALNY,-0.148458,-0.323189,0.552801,0.753266,-0.366798,-0.390936,0.054924,0.681205,-0.773487,0.262773,-1.267968,0.525549,0.641455,-0.225130,0.143102,0.560580,0.028291,0.230255,0.698185,0.120801,-0.284399,0.358526,0.263673,0.695383,0.140371,-0.265315,1.216451,0.399438,0.356711,-0.324396,-0.827342,-0.873839
