run_date,date,as_of_close_date,ticker,status,best_horizon,best_pred_prob,best_pred_std,best_adj_prob,close
2026-04-21,2026-04-21,2026-04-20,ARL,no_buy,6m,0.16137517988681793,0.03621446341276169,0.16137517988681793,13.72
2026-04-21,2026-04-21,2026-04-20,AIMDW,no_buy,6m,0.16127341985702515,0.035428162664175034,0.16127341985702515,0.0849
2026-04-21,2026-04-21,2026-04-20,ARW,no_buy,1m,0.16110897064208984,0.024452362209558487,0.16110897064208984,175.97
2026-04-21,2026-04-21,2026-04-20,AGO,no_buy,6m,0.16097307205200195,0.028166094794869423,0.16097307205200195,83.4
2026-04-21,2026-04-21,2026-04-20,BSL,no_buy,6m,0.1603783816099167,0.034145742654800415,0.1603783816099167,13.28
2026-04-21,2026-04-21,2026-04-20,BSAAU,no_buy,1m,0.15905354917049408,0.03231032192707062,0.15905354917049408,10.45
2026-04-21,2026-04-21,2026-04-20,BRSL,no_buy,6m,0.15879850089550018,0.021233530715107918,0.15879850089550018,13.005
2026-04-21,2026-04-21,2026-04-20,ALLY,no_buy,6m,0.15847660601139069,0.03729484975337982,0.15847660601139069,46.3
2026-04-21,2026-04-21,2026-04-20,BSLKW,no_buy,1m,0.1580987423658371,0.023858537897467613,0.1580987423658371,0.0055
2026-04-21,2026-04-21,2026-04-20,AIRT,no_buy,6m,0.1578810065984726,0.0325775220990181,0.1578810065984726,21.76
2026-04-21,2026-04-21,2026-04-20,ALXO,no_buy,6m,0.15678860247135162,0.029717259109020233,0.15678860247135162,1.75
2026-04-21,2026-04-21,2026-04-20,AMRN,no_buy,6m,0.15677940845489502,0.03177053481340408,0.15677940845489502,14.62
2026-04-21,2026-04-21,2026-04-20,AQMS,no_buy,6m,0.15673595666885376,0.025932013988494873,0.15673595666885376,4.54
2026-04-21,2026-04-21,2026-04-20,AIM,no_buy,1m,0.15624114871025085,0.02719704434275627,0.15624114871025085,0.4842
2026-04-21,2026-04-21,2026-04-20,AIFU,no_buy,1m,0.15521298348903656,0.025014745071530342,0.15521298348903656,1.425
2026-04-21,2026-04-21,2026-04-20,AIRI,no_buy,6m,0.15511411428451538,0.02754785493016243,0.15511411428451538,3.21
