[v5] device=cuda | visible GPUs=1 | current=cuda:0 (NVIDIA GeForce RTX 5090)
[v5] building frames for 7597 tickers ...
[v5] usable frames: 7094
[v5] eval_mode=time eval_tickers=0 val_tickers=0
[v5] scaler fit on 23948324 train rows
[v5] era-proxy audit (|rho|>0.2): none
[v5] class rates [train] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.57, 0.22]  1m:[0.21, 0.54, 0.24]  6m:[0.22, 0.51, 0.26]
[v5] class rates [val] (down/neutral/up): 1d:[0.21, 0.59, 0.21]  1w:[0.22, 0.56, 0.22]  1m:[0.23, 0.53, 0.23]  6m:[0.23, 0.52, 0.25]
[v5] class rates [oos] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.56, 0.23]  1m:[0.22, 0.53, 0.25]  6m:[0.23, 0.46, 0.31]
[v5] train windows: 23105132 | val windows (subsampled): 1000000 | eval tickers: 4992
[v5] schedule | 90255 steps/epoch | budget 1805100 steps (~20.0 ep) | t_max 1805100 | eval every 10000 steps | patience 10 (~100000 steps no-improve) | workers 8 | members [1, 2)
[v5] val constant-marginal baseline CE = 3.5478 (model must beat this to be learning anything conditional)
[member 1] start | 23105132 train / 1000000 val windows | 90255 steps/epoch | eval every 10000 steps | max 1805100 steps | patience 10
[member 1] step 6600/1805100 (ep 0.07) | loss 3.3526 | lr 3.00e-04 | 12.4 it/s | eta 2424m
[member 1] step 6700/1805100 (ep 0.07) | loss 3.3575 | lr 3.00e-04 | 12.4 it/s | eta 2423m
[member 1] step 6800/1805100 (ep 0.08) | loss 3.3505 | lr 3.00e-04 | 12.4 it/s | eta 2422m
[member 1] step 6900/1805100 (ep 0.08) | loss 3.3518 | lr 3.00e-04 | 12.4 it/s | eta 2422m
[member 1] step 7000/1805100 (ep 0.08) | loss 3.3495 | lr 3.00e-04 | 12.4 it/s | eta 2421m
[member 1] step 7100/1805100 (ep 0.08) | loss 3.3550 | lr 3.00e-04 | 12.4 it/s | eta 2421m
[member 1] step 7200/1805100 (ep 0.08) | loss 3.3498 | lr 3.00e-04 | 12.4 it/s | eta 2420m
[member 1] step 7300/1805100 (ep 0.08) | loss 3.3476 | lr 3.00e-04 | 12.4 it/s | eta 2419m
[member 1] step 7400/1805100 (ep 0.08) | loss 3.3499 | lr 3.00e-04 | 12.4 it/s | eta 2419m
[member 1] step 7500/1805100 (ep 0.08) | loss 3.3376 | lr 3.00e-04 | 12.4 it/s | eta 2418m
[member 1] step 7600/1805100 (ep 0.08) | loss 3.3387 | lr 3.00e-04 | 12.4 it/s | eta 2417m
[member 1] step 7700/1805100 (ep 0.09) | loss 3.3481 | lr 3.00e-04 | 12.4 it/s | eta 2417m
[member 1] step 7800/1805100 (ep 0.09) | loss 3.3480 | lr 3.00e-04 | 12.4 it/s | eta 2416m
